Wd,Wn,Wout,Ib,N,DC Gain,GB,SR,Custo
2.0396257522826837e-05,1.2073231012229719e-05,3.1505171120018374e-05,3.178577717019166e-05,8,1385.0854038473178,10471285.480508799,14555593.0,0.16729547490751964
3.6765027204584124e-05,1.3414610746625964e-05,5.297768611181631e-06,7.040921811376542e-05,20,531.3455950154862,20892961.308539983,31966568.0,0.2696379940890493
9.183851976508008e-06,2.0135901244559348e-05,1.6813569284835215e-05,4.095716119251347e-05,45,930.7669650968944,8709635.899560643,17619484.0,0.2217571423281337
3.7568407998239154e-06,4.910524859484436e-06,2.9198771471182338e-05,9.618899988082653e-05,3,909.0315289704872,9772372.209557923,31861416.0,0.2243626894347275
8.376857291467e-06,4.899425044536674e-05,4.253029047920588e-05,5.066688501306249e-05,3,1004.3937711530347,10232929.922807349,23234986.0,0.21293108931628502
3.938232377719261e-05,4.213253997346348e-05,2.265028992586861e-05,2.310498965759114e-05,1,1306.562789621669,7079457.843841248,11145389.0,0.1767084155592719
4.4583412412386065e-05,4.0325460603853646e-05,3.454659951198864e-05,9.473262823973565e-05,20,1002.2851651992465,26302679.9189533,41680620.0,0.21318385959013128
3.1689341865946136e-05,3.5216113558818534e-05,2.3123782186208912e-05,4.7870661107357817e-05,2,1074.5405393849264,12022644.3461739,22252108.0,0.20452220771204344
4.524513700564153e-05,4.1741384172428074e-05,9.29848361553857e-06,7.662419584718675e-05,18,591.9145812839377,23442288.15319876,36634330.0,0.2623772542537281
3.78144063277465e-05,3.601010524137131e-05,3.584925964441131e-05,2.1582517818580547e-05,22,1348.0389700245605,7943282.347242667,10183783.0,0.17173643610540568
4.822562402829631e-05,2.425967680472907e-05,1.6195188746525157e-05,6.331943551573346e-05,45,916.9502144145026,19054607.179632097,27829042.0,0.22341343275422254
3.578643534723872e-05,5.8953011644771655e-06,2.762460857512793e-05,3.803194258817271e-06,35,1611.838550325967,1949844.5997580132,2610795.0,0.292714030353082
2.6614965231011475e-05,4.394764535508901e-05,3.8455301048349644e-05,4.921006884179202e-05,14,1157.9423374277178,14791083.881681785,22768324.0,0.19452437227357702
2.8467376747833648e-05,1.0166307354720861e-05,1.68562819262344e-05,9.079810070503999e-05,46,947.5952627472437,21877616.239495095,36002760.0,0.21973984108804054
2.3486286342874953e-05,4.483804430017625e-05,4.1009270240238614e-05,7.495995646004811e-05,43,1040.2970207868975,14454397.707458993,29117990.0,0.20862716793845848
4.1829644542175826e-05,4.436343067781847e-05,3.525858416698394e-05,5.8538982117213206e-05,20,1124.603498857054,17782794.100388877,26949768.0,0.19852088349469096
2.065595737329162e-06,4.2379518439525856e-05,3.7874738327127284e-05,8.739595847525655e-05,47,537.6135416046225,5011872.336272632,17277654.0,0.26888662061742313
4.322725067648766e-05,2.7016554988072944e-05,3.525689986025229e-05,7.890632810765787e-05,12,1127.7334358730586,23988329.19019443,35152516.0,0.19814568060994353
2.4365699648478697e-05,4.940920066863838e-05,1.2991794369614053e-05,4.569278506628839e-05,13,816.7377851275716,14125375.446227267,22674924.0,0.23542645166282736
4.038719379429828e-05,4.5360823888111346e-05,1.677165679822468e-05,1.031415634578118e-06,12,1529.727145208506,6760829.753919693,5221654.5,0.18950820691891299
1.351030463257457e-05,1.6961884823112666e-05,3.735679781366239e-05,2.8919988921353114e-05,26,1324.834023843941,7762471.166286773,11890827.0,0.17451814152083656
7.264656064235477e-06,2.670875271267722e-05,4.5339183795099e-05,5.317317347320205e-05,8,1037.711692356441,9999999.999999812,23141612.0,0.2089370855758316
