Wd,Wn,We,Wout,N,DC Gain,Freq Corte,SR
6e-07,3.6e-06,5.7999999999999995e-06,8e-07,12,12.760210380987187,288403.15031265665,817826.56
9.4e-06,1.2e-06,9.8e-06,8e-07,16,1.5382284932799044,3630780.5477009495,4486883.5
5.4e-06,1.6e-06,3.6e-06,1e-06,3,51.654358081185435,125892.54117941519,5582358.5
6.799999999999999e-06,6e-06,6.5999999999999995e-06,6.4e-06,11,1978.1616516149138,3548.1338923357275,14077025.0
1.6e-06,2.4e-06,4.9999999999999996e-06,1.2e-06,3,84.0231006329469,66069.34480075887,2067336.8
9.2e-06,5.199999999999999e-06,1.6e-06,5.6e-06,4,0.7025478124902824,5888436.553555782,8542083.0
4.4e-06,8.4e-06,1.4e-06,1.8e-06,5,4.557954836883743,1023292.9922807378,2535529.0
4.2e-06,4.9999999999999996e-06,3.2e-06,1.4e-06,9,26.148885951761535,169824.36524617227,3795832.5
6.5999999999999995e-06,7.8e-06,4.8e-06,9.4e-06,18,1886.962520148652,2754.2287033381467,15684934.0
4.9999999999999996e-06,4.9999999999999996e-06,6.4e-06,2.5999999999999997e-06,19,479.78333210733194,12589.25411794156,12943344.0
9.8e-06,8.8e-06,4.9999999999999996e-06,8.2e-06,8,1960.8393152096937,3311.311214825886,15043168.0
6e-07,4.4e-06,6.2e-06,3.6e-06,18,902.5567036227152,1905.4607179632346,5401745.5
5.6e-06,5.199999999999999e-06,2.8e-06,5.7999999999999995e-06,9,0.30263899502316677,13182567.385563815,2794651.8
6.5999999999999995e-06,1.6e-06,2e-06,1.8e-06,8,7.717429553000916,380189.39632055577,4647328.5
5.7999999999999995e-06,1.4e-06,1.8e-06,3.6e-06,7,0.9515962498327368,2454708.9156849883,4936308.5
4.8e-06,2e-07,8e-07,4e-07,9,3.475525120917631,1148153.6214968646,8445149.0
2.2e-06,6.5999999999999995e-06,6.799999999999999e-06,7.8e-06,8,2051.6019817420633,2041.7379446695156,11162226.0
7.8e-06,1.8e-06,8e-06,8.4e-06,7,2351.811459312955,2754.2287033381467,9937057.0
9.8e-06,6.4e-06,6.4e-06,5.4e-06,9,1754.7858086073163,4570.881896148713,14327620.0
2e-07,9.8e-06,9e-06,4.4e-06,1,1085.267926398003,1023.2929922807484,3123122.0
4e-07,7.2e-06,9e-06,9.4e-06,15,2082.1441103663174,645.6542290346521,4484443.5
6.5999999999999995e-06,4e-06,9.2e-06,7.8e-06,2,2513.1711815664,2754.2287033381467,11552633.0
3e-06,6e-06,1.4e-06,3.2e-06,15,0.3244651570691032,9999999.999999812,817670.94
5.4e-06,4e-06,7e-06,7.2e-06,13,2230.560164819552,2754.2287033381467,12401897.0
8e-06,9.8e-06,7e-06,5.6e-06,18,1691.3131922165478,4466.835921509595,16678219.0
6.2e-06,3.8e-06,2e-06,2.4e-06,2,13.64397839335951,371535.22909716726,6220923.5
8.4e-06,6.799999999999999e-06,2e-06,6e-07,13,7.220699673222724,676082.9753919714,5072183.0
6.5999999999999995e-06,4.8e-06,6.799999999999999e-06,6e-07,2,174.44472247065394,38904.514499427656,5403037.0
6.2e-06,7.8e-06,1e-06,4e-07,1,141.6738565579839,46773.51412871932,6785559.5
8e-06,5.199999999999999e-06,1e-06,3.6e-06,3,2.002290130329963,2290867.652767734,9200593.0
2e-07,8.4e-06,2.8e-06,1.4e-06,7,44.06913462327119,39810.71705534931,1478979.5
4e-07,6.2e-06,7e-06,5.7999999999999995e-06,18,1443.029847455902,912.0108393559046,4404774.0
7.6e-06,3.3999999999999996e-06,5.199999999999999e-06,9.6e-06,10,2565.4802191662266,2630.267991895363,12229995.0
9.4e-06,5.199999999999999e-06,8e-06,6e-06,4,2010.452864301801,3981.0717055349414,12863419.0
6.5999999999999995e-06,7.8e-06,3.2e-06,9.4e-06,11,0.12631474511750984,48977881.93684362,2802456.5
9.4e-06,1.8e-06,5.6e-06,9.8e-06,11,2523.8221356216777,2691.5348039268965,10245206.0
3e-06,9.2e-06,9.6e-06,6e-06,7,1711.2050397546325,3019.951720401994,12844615.0
7.2e-06,8e-07,9.4e-06,7.2e-06,2,460.46192215104645,10715.193052375973,6853742.5
3.2e-06,4.4e-06,9.4e-06,6.4e-06,14,1988.1446066471244,2511.8864315095625,11501257.0
1.8e-06,1.6e-06,2e-06,6.2e-06,18,0.1440348064875641,31622776.60168316,381221.84
4e-06,3e-06,9.8e-06,2.2e-06,10,159.6269479754335,33113.11214825878,8801161.0
5.4e-06,6.799999999999999e-06,5.7999999999999995e-06,8e-07,4,77.2042393762711,87096.35899560705,4634924.0
3.8e-06,2.4e-06,2e-06,9e-06,18,0.0722138763296608,89125093.81337267,1022442.7
6e-07,4.2e-06,4e-07,6.5999999999999995e-06,8,0.2107341697609596,28840315.031265486,30904.166
7.2e-06,4.8e-06,8e-07,4.4e-06,9,0.3282135823795257,14454397.707458993,6241709.5
7.6e-06,4.8e-06,6.5999999999999995e-06,4.6e-06,18,1546.1264917820329,4677.3514128719435,14076647.0
5.199999999999999e-06,1.4e-06,1e-06,3.8e-06,15,0.2490178007189366,19054607.179632097,4075515.2
1.4e-06,1.8e-06,6.799999999999999e-06,3.3999999999999996e-06,6,890.8727056725124,3090.2954325135674,6309855.5
2.8e-06,5.199999999999999e-06,4.8e-06,2.8e-06,17,578.1872059145812,7413.102413009111,11533098.0
6.4e-06,4.2e-06,6.4e-06,6.4e-06,11,2044.233583760013,3235.9365692962583,12723250.0
6.2e-06,7e-06,9e-06,9.2e-06,18,2532.0997185213214,2691.5348039268965,15156578.0
6.2e-06,9.6e-06,1.2e-06,9.4e-06,18,0.058187952271499685,112201845.43019395,2096288.8
7.6e-06,4.2e-06,4e-06,3.6e-06,6,468.09797419908665,3715.3522909716967,11891565.0
7.8e-06,7.8e-06,5.199999999999999e-06,9e-06,2,2246.064109265107,3019.951720401994,13150651.0
4.4e-06,9.2e-06,8e-06,5.199999999999999e-06,6,1562.648475515081,3890.451449942776,13481866.0
1.4e-06,1.2e-06,9.8e-06,9e-06,4,1251.6106186304673,2089.2961308540253,5862985.5
4.9999999999999996e-06,8e-07,6.799999999999999e-06,9.8e-06,14,532.5430860567635,7762.47116628685,6656615.5
4.8e-06,1.6e-06,5.6e-06,3e-06,14,711.9223316329029,7079.457843841318,8516299.0
